epoch,accuracy,loss,val_accuracy,val_loss
0,0.3769720494747162,1.3297785520553589,0.4265129566192627,1.2922639846801758
1,0.6446166634559631,0.9935207366943359,0.6858789920806885,0.9224639534950256
2,0.7938001751899719,0.5793281197547913,0.6916426420211792,0.7921116948127747
3,0.8452809453010559,0.4092206656932831,0.7031700015068054,0.7943757176399231
4,0.8851370215415955,0.3244263529777527,0.6858789920806885,0.85072261095047
5,0.9028508067131042,0.2670433223247528,0.6887608170509338,0.8644134998321533
6,0.924439549446106,0.21983495354652405,0.6743515729904175,0.9520915150642395
7,0.9410462379455566,0.18165339529514313,0.6685879230499268,1.0031243562698364
8,0.952117383480072,0.15608668327331543,0.6887608170509338,1.041306495666504
9,0.9587600231170654,0.13469210267066956,0.6714697480201721,1.0906912088394165
10,0.9609742760658264,0.12422532588243484,0.6829971075057983,1.1600245237350464
11,0.9667866230010986,0.10575659573078156,0.6714697480201721,1.2300939559936523
12,0.9695543646812439,0.10226713120937347,0.6685879230499268,1.2374441623687744
13,0.973706066608429,0.08992172032594681,0.6743515729904175,1.3221501111984253
14,0.9725989699363708,0.09275536239147186,0.6541786789894104,1.3433929681777954
15,0.9725989699363708,0.08313321322202682,0.6657060384750366,1.3457691669464111
16,0.974259614944458,0.07879757881164551,0.6628242135047913,1.4160233736038208
17,0.9761970639228821,0.07538764923810959,0.651296854019165,1.4223744869232178
18,0.9739828109741211,0.07438971847295761,0.6541786789894104,1.4921897649765015
19,0.9761970639228821,0.07149805873632431,0.6570605039596558,1.489184856414795
20,0.976473867893219,0.06364105641841888,0.6714697480201721,1.4769335985183716
21,0.975643515586853,0.064394012093544,0.6541786789894104,1.551030158996582
22,0.976473867893219,0.06318490207195282,0.6599423885345459,1.5617016553878784
23,0.9767506122589111,0.065421923995018,0.6628242135047913,1.5649794340133667
24,0.9775809645652771,0.05845804139971733,0.6714697480201721,1.595064401626587
